0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0.0740358
0,13,0.0733303
0,14,0.0729061
0,15,0.0723135
0,16,0.072229
0,17,0.0726373
0,18,0.0720833
0,19,0.0736258
0,20,0.0725909
1,0,0.0784614
1,1,0.0780361
1,2,0.0717607
1,3,0.0724205
1,4,0.0731937
1,5,0.072584
1,6,0.0722569
1,7,0.0726734
1,8,0.0713976
1,9,0.0733354
1,10,0.0716042
1,11,0.0726611
1,12,0.0731894
1,13,0.0723152
1,14,0.0723598
1,15,0.0725942
1,16,0.071933
1,17,0.0732497
1,18,0.0747902
1,19,0.0720163
1,20,0.0725798
2,0,0.0999371
2,1,0.0717677
2,2,0.0724314
2,3,0.0753303
2,4,0.0723255
2,5,0.0723309
2,6,0.0720255
2,7,0.0718723
2,8,0.0722853
2,9,0.0710749
2,10,0.0714921
2,11,0.0724467
2,12,0.0724134
2,13,0.073856
2,14,0.0717334
2,15,0.0721539
2,16,0.0726136
2,17,0.0721727
2,18,0.0737215
2,19,0.0731563
2,20,0
3,0,0.0782816
3,1,0.0803586
3,2,0.0723535
3,3,0.0724245
3,4,0.0725454
3,5,0.0709886
3,6,0.0733055
3,7,0.0721926
3,8,0.0711321
3,9,0.0709548
3,10,0.073731
3,11,0.0720873
3,12,0.0743169
3,13,0.0721445
3,14,0.0737968
3,15,0.0717358
3,16,0.0727042
3,17,0.0714262
3,18,0.0736332
3,19,0.0714458
3,20,0
4,0,0.0771289
4,1,0.0717855
4,2,0.0723937
4,3,0.0743864
4,4,0.0711747
4,5,0.071641
4,6,0.0712761
4,7,0.0710214
4,8,0.0713416
4,9,0.0732967
4,10,0.0726024
4,11,0.0746306
4,12,0.072547
4,13,0.0725735
4,14,0.0725279
4,15,0.0713366
4,16,0.0717433
4,17,0.0729126
4,18,0.07163
4,19,0
4,20,0
5,0,0.118526
5,1,0.0800943
5,2,0.0721371
5,3,0.0715498
5,4,0.0714205
5,5,0.0727593
5,6,0.0753195
5,7,0.0707926
5,8,0.0720092
5,9,0.0710733
5,10,0.0725553
5,11,0.0742685
5,12,0.0733485
5,13,0.0722736
5,14,0.0720922
5,15,0.0711089
5,16,0.073545
5,17,0.0727164
5,18,0.0710118
5,19,0
5,20,0
6,0,0.0781257
6,1,0.0917023
6,2,0.0726811
6,3,0.0746418
6,4,0.0733154
6,5,0.0741014
6,6,0.0713205
6,7,0.0730634
6,8,0.0792777
6,9,0.0723473
6,10,0.0711986
6,11,0.0731169
6,12,0.0736363
6,13,0.072856
6,14,0.0729316
6,15,0.0722465
6,16,0.0724991
6,17,0.0715575
6,18,0
6,19,0
6,20,0
7,0,0.0721738
7,1,0.0747238
7,2,0.0723811
7,3,0.0727152
7,4,0.0720838
7,5,0.0713345
7,6,0.0713396
7,7,0.0712622
7,8,0.0710273
7,9,0.0718205
7,10,0.0737791
7,11,0.0766835
7,12,0.0720189
7,13,0.0720131
7,14,0.0800555
7,15,0.0715476
7,16,0.0727061
7,17,0
7,18,0
7,19,0
7,20,0
8,0,0.0799839
8,1,0.0928136
8,2,0.0720647
8,3,0.0713584
8,4,0.0722973
8,5,0.0709489
8,6,0.0713417
8,7,0.0715078
8,8,0.0720764
8,9,0.0725266
8,10,0.0733696
8,11,0.0751613
8,12,0.0720235
8,13,0.0725704
8,14,0.0715829
8,15,0.0727492
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
9,0,0.0908556
9,1,0.0738561
9,2,0.0752113
9,3,0.0822141
9,4,0.0711468
9,5,0.071373
9,6,0.0730314
9,7,0.073798
9,8,0.0729192
9,9,0.0762956
9,10,0.0729708
9,11,0.072109
9,12,0.0716871
9,13,0.0756704
9,14,0.0718209
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
10,0,0.0792847
10,1,0.0768008
10,2,0.0901755
10,3,0.0710148
10,4,0.0739241
10,5,0.0717683
10,6,0.0717659
10,7,0.073863
10,8,0.0731487
10,9,0.072099
10,10,0.0714107
10,11,0.0713495
10,12,0.0750378
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
10,20,0
11,0,0.0842749
11,1,0.0890708
11,2,0.0855024
11,3,0.072467
11,4,0.0709578
11,5,0.0733967
11,6,0.0726305
11,7,0.0718658
11,8,0.0774264
11,9,0.0714835
11,10,0.0760386
11,11,0
11,12,0
11,13,0
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
11,20,0
